"promotion_id","promotion_name"
1,"BackTOSchool"
2,"MerryChristmas"
3,"MerryChristmas"
4,"ValentineValue"
5,"BirthdayBonus"
6,"BirthdayBonus"
7,"NewcommerWelcome"
8,"VIP"
9,"BirthdayBonus"
10,"Referral"
11,"MerryChristmas"
12,"VIP"
13,"Referral"
14,"WelcomeNewYear"
15,"ValentineValue"
16,"WelcomeNewYear"
17,"BirthdayBonus"
18,"MerryChristmas"
19,"NewcommerWelcome"
20,"SpringSale"
21,"MerryChristmas"
22,"NewcommerWelcome"
23,"ValentineValue"
24,"MerryChristmas"
25,"Referral"
26,"NewcommerWelcome"
27,"WelcomeNewYear"
28,"ValentineValue"
29,"MerryChristmas"
30,"VIP"
