"s_id","s_name","s_zipcode","s_street_address","s_city","s_county","s_phone","s_email"
6,"Tempo Treasures Inc.","CT4","Manchester Road 6","Lower Hardres","England","07213955994","ocwxtbus@c.mbt"
5,"Sonic Spectrum Distributors","FY6","Station Road 6","Hardhorn and Thornton","England","07830874266","xvkaqiyhuw@bi.qhf"
9,"Serenade Suppliers","LE5","Alexander Road 3","Leicester","England","07123628917","dpowiqg@ujxzd.hvj"
7,"Aria Attic Instruments","ME6","Kings Road 1","Snodland","England","07441208328","piw@qdr.egh"
1,"Harmony Haven Instruments","PE11","Queens Road 1","Pinchbeck","England","07986848022","ywntlzvrc@tufsxibq.xyc"
10,"Allegro Accessories Outlet","PO36","Park Lane 9","Sandown","England","07475494768","giqfx@c.jbw"
3,"Rhythmic Resonance Supplies","SG16","Church Lane 1","Henlow","England","07620903815","crouyzhfxg@ktlius.oej"
8,"Virtuoso Ventures","SP3","West Street 3","Dinton","England","07896317075","kfih@xg.mrv"
2,"Melody Masters Music Emporium","SS17","Mill Lane 2","Corringham","England","07013373203","wefiryksnv@vrsdefj.sqn"
4,"Crescendo Corner","TS11","Main Street 10","Saltburn Marske and New Marske","England","07779280801","cewvd@pocnz.tkl"
