"ad_id","media_name","ad_type","start_date","impression","end_date","cost","revenue","click","action"
1,"Google","Promotion",2020-09-29,469,2020-11-12,257012,439490.52,41,5
2,"Flyer","Promotion",2021-04-20,317,2021-07-06,155964,154404.36,17,2
3,"Flyer","Cut Off",2018-10-26,509,2018-11-18,322706,538919.02,48,6
4,"Website","Cut Off",2018-06-11,737,2018-08-23,529903,79485.45,62,6
5,"Google","Bonus",2022-03-22,531,2022-04-10,141246,459049.5,30,6
6,"Website","Discount",2023-03-25,910,2023-06-20,667030,1440784.8,69,13
7,"Tiktok","Bonus",2018-06-14,412,2018-07-28,165624,806588.88,27,4
8,"Google","Cut Off",2022-07-27,718,2022-10-05,412132,708867.04,45,7
9,"Website","Promotion",2019-02-19,278,2019-03-01,91740,101831.4,23,3
10,"Facebook","Discount",2018-10-23,464,2018-12-19,404608,1982579.2,26,2
11,"Instagram","Discount",2019-05-15,152,2019-08-11,85424,357926.56,14,2
12,"Website","Discount",2024-02-08,230,2024-02-10,220570,507311,16,2
13,"Instagram","Bonus",2022-08-26,574,2022-09-23,362768,1403912.16,34,2
14,"Flyer","Freebies",2019-04-07,646,2019-05-13,464474,2299146.3,36,3
15,"Facebook","Cut Off",2023-11-26,240,2023-12-02,213840,299376,13,2
16,"Instagram","Cut Off",2022-06-10,783,2022-07-12,503469,614232.18,76,5
17,"Website","Promotion",2018-03-26,198,2018-04-12,143550,660330,15,1
18,"Flyer","Cut Off",2023-10-01,908,2023-12-02,789960,1074345.6,69,4
19,"Website","Promotion",2021-03-24,917,2021-04-12,758359,2745259.58,67,12
20,"Tiktok","Freebies",2022-02-01,320,2022-04-28,267520,80256,27,2
21,"Instagram","Promotion",2022-11-04,945,2023-01-11,411075,1196228.25,81,13
22,"Flyer","Bonus",2018-01-13,133,2018-02-06,80066,44036.3,10,1
23,"Website","Promotion",2022-09-07,683,2022-09-29,327840,944179.2,49,6
24,"Flyer","Freebies",2018-03-20,363,2018-05-27,158268,474804,32,3
25,"Google","Freebies",2020-12-21,260,2021-02-01,114400,446160,25,4
26,"Flyer","Bonus",2023-04-30,202,2023-05-20,181396,230372.92,12,2
27,"Flyer","Freebies",2021-03-23,387,2021-06-01,77400,123840,31,2
28,"Instagram","Cut Off",2020-04-13,682,2020-05-29,624030,2165384.1,50,4
29,"Website","Cut Off",2021-10-15,812,2022-01-06,602504,2952269.6,65,9
30,"Google","Bonus",2020-08-24,632,2020-10-07,346968,308801.52,42,2
31,"Google","Bonus",2018-11-02,218,2019-01-27,191840,798054.4,15,2
32,"Flyer","Cut Off",2019-08-15,938,2019-11-11,923930,1413612.9,61,7
33,"Flyer","Discount",2021-07-11,687,2021-08-14,423879,1784530.59,44,2
34,"Facebook","Freebies",2021-03-11,693,2021-05-11,218988,812445.48,56,10
35,"Facebook","Promotion",2019-09-05,713,2019-11-17,467015,812606.1,65,4
36,"Instagram","Bonus",2019-04-25,145,2019-06-21,67425,309480.75,9,1
37,"Tiktok","Freebies",2023-09-21,543,2023-10-02,256296,33318.48,31,5
38,"Instagram","Cut Off",2022-06-10,714,2022-06-14,259182,694607.76,42,4
39,"Website","Freebies",2022-05-05,598,2022-06-03,138138,555314.76,59,7
40,"Website","Bonus",2024-03-12,864,2024-03-19,788832,3407754.24,52,9
41,"Google","Freebies",2018-11-24,564,2018-11-25,497448,1875378.96,51,5
42,"Website","Bonus",2020-05-17,507,2020-05-21,165789,195631.02,41,7
43,"Facebook","Cut Off",2021-12-08,182,2022-01-21,105560,123505.2,11,1
44,"Tiktok","Bonus",2022-12-01,914,2023-02-23,823514,3615226.46,67,10
45,"Google","Discount",2019-08-22,608,2019-11-18,446880,817790.4,43,3
46,"Flyer","Discount",2021-02-06,119,2021-04-26,59262,270827.34,12,2
47,"Google","Cut Off",2018-06-06,985,2018-07-07,548645,1486827.95,88,10
48,"Tiktok","Bonus",2020-08-03,651,2020-08-30,460908,1115397.36,61,10
49,"Facebook","Freebies",2021-10-19,530,2021-11-05,425060,1355941.4,47,3
50,"Google","Cut Off",2019-10-23,574,2020-01-19,288148,1322599.32,56,10
