"ad_id","product_id"
15,18
185,5
38,20
62,1
134,6
132,14
35,13
125,8
99,17
77,19
105,16
185,15
71,28
153,16
31,17
37,19
28,14
62,6
148,11
29,8
127,23
42,29
60,20
193,19
28,5
78,2
31,21
12,5
93,12
80,3
44,26
98,18
26,14
33,13
132,23
181,15
117,24
86,2
24,30
37,26
108,13
15,16
14,7
82,16
97,27
72,17
53,11
56,9
199,8
178,22
148,13
98,6
101,19
93,16
75,27
2,12
116,30
131,10
111,30
166,1
15,6
156,17
183,28
197,13
165,22
43,26
1,2
173,15
97,4
83,12
151,5
68,23
185,6
103,19
127,20
102,28
180,28
162,12
163,3
74,4
198,15
188,14
167,26
49,13
190,3
161,14
35,15
139,29
141,2
178,6
60,19
90,29
90,16
112,20
168,4
162,26
68,21
56,21
25,14
166,23
81,16
73,26
173,5
73,24
150,21
104,3
3,26
179,23
147,4
161,23
128,17
180,22
127,15
4,3
60,16
65,16
192,24
181,4
133,4
106,26
172,20
35,5
121,1
23,15
157,5
117,22
35,21
164,25
119,27
99,11
163,26
148,12
150,20
121,11
169,6
86,16
108,4
18,25
44,6
167,20
29,8
91,22
164,1
32,8
51,11
119,11
51,22
125,21
180,21
89,17
149,9
21,22
79,18
115,19
101,12
192,8
78,23
71,6
128,25
59,11
90,19
158,26
58,5
15,25
114,2
64,7
134,26
34,10
21,8
1,27
17,22
62,3
117,11
45,13
168,19
66,2
41,8
121,6
136,15
25,23
148,22
122,9
5,29
74,28
20,28
183,30
56,1
79,2
157,9
2,17
129,5
60,27
69,10
58,29
40,2
141,5
25,21
132,14
42,25
123,21
