"s_id","s_name","s_zipcode","s_street_address","s_city","s_county","s_phone","s_email"
1,"Harmony Haven Instruments","BN6","Richmond Road 9","Clayton","England","07631765156","txgjhvwny@qnlvw.hpb"
4,"Crescendo Corner","DE73","Queens Road 3","Swarkestone","England","07930945568","rteflzsu@cqvoks.ocg"
6,"Tempo Treasures Inc.","G22","Park Avenue 1","Glasgow","Scotland","07455691389","sartwdhxu@adx.iso"
9,"Serenade Suppliers","GU32","North Road 6","Stroud","England","07223317504","dijfx@fvt.bwn"
7,"Aria Attic Instruments","HP6","St. John’s Road 2","Amersham","England","07928184635","bd@jz.rci"
2,"Melody Masters Music Emporium","L33","Stanley Road 10","Kirkby","England","07506136263","lndepyuzj@mq.mct"
10,"Allegro Accessories Outlet","NE40","Highfield Road 6","Blaydon","England","07012785180","cuadqw@py.boe"
8,"Virtuoso Ventures","SM2","Main Road 5","Sutton","England","07902516088","gdhtics@uqoglr.vzx"
5,"Sonic Spectrum Distributors","SW16","Kingsway 5","Lambeth","England","07045469544","segp@f.jqk"
3,"Rhythmic Resonance Supplies","WC1V","The Crescent 8","Camden Town","England","07948181131","wcxlmiy@ezv.iaz"
