"s_id","s_name","s_zipcode","s_street_address","s_city","s_county","s_phone","s_email"
6,"Tempo Treasures Inc.","AB52","George Street 9","Insch","Scotland","07058118388","znydlvskot@oxgazfwnj.zuv"
10,"Allegro Accessories Outlet","BB10","Windsor Road 1","Burnley","England","07757160724","aftsjqvrxy@ybk.urg"
2,"Melody Masters Music Emporium","BN13","Park Road 5","Worthing","England","07192022776","pzmgbayufn@izkqw.wdg"
1,"Harmony Haven Instruments","DH7","Park Lane 6","Esh","England","07594238474","h@tjncb.ndv"
5,"Sonic Spectrum Distributors","LL55","The Green 5","Llanrug","Wales","07707688856","lkamte@dspc.lck"
8,"Virtuoso Ventures","NG10","York Road 8","Ilkeston","England","07225068399","sga@gpvfyiqsd.dwa"
3,"Rhythmic Resonance Supplies","NR14","Park Lane 7","Alpington","England","07799955618","onc@uq.mvq"
7,"Aria Attic Instruments","OX2","Church Lane 8","Oxford","England","07279169224","fjsvp@vfczlkr.rbg"
4,"Crescendo Corner","PL21","Green Lane 3","Ivybridge","England","07179413393","e@s.tnz"
9,"Serenade Suppliers","YO13","London Road 8","Stainton Dale","England","07873295073","xmrth@sm.uzj"
